Adsorbent,O2_30C_0.001bar,O2_30C_0.5bar,O2_30C_1bar,O2_30C_5bar
VEBHUG_SL,0.0002712217,0.11753374,0.236756897,1.153995851
VECWUX_clean,0.0001683954,0.097951458,0.188305439,0.747911834
VECZEI_clean,0.0002340754,0.107724824,0.213720834,0.964908787
VEDFAN_clean,0.0002080146,0.108712668,0.215978132,0.950246381
VEDFIV_clean,0.0002525097,0.105610246,0.207814392,0.916585833
VEDFOB_clean,0.0002224755,0.109045268,0.216611075,0.942448613
VEDFUH_clean,0.0002046775,0.102239742,0.202449395,0.880206635
VEDGAO_clean,0.0002224755,0.105106339,0.20799571,0.904398624
VEDGES_clean,0.0002247003,0.108113096,0.209080278,0.921943044
VEDGIW_clean,0.0002169136,0.105581324,0.208541887,0.918275535
VEGBUG_clean,0.0002124204,0.114051262,0.223244563,1.07595992
VEHJID_clean,0.0001539204,0.091422396,0.180141696,0.823008196
VEHJID01_clean,0.0001325455,0.068011248,0.133898685,0.668211125
VEHJOJ_clean,0.000156075,0.084087821,0.166339371,0.787940098
VEHJUP_clean,0.0001465194,0.083632336,0.163845355,0.784351965
VEHKIE_SL,0.0002295091,0.106694936,0.212493614,0.963078896
VEHLIE_clean,0.0004692231,0.198968737,0.380898624,1.462699937
VEHPUU_clean,3.68063e-05,0.021319513,0.042939971,0.204181911
VEJHEZ_clean,0.000200585,0.109160812,0.218005551,1.057536015
VEJHID_clean,0.0002011155,0.090213647,0.178085635,0.858127341
VEJYIT_clean,0.0002910229,0.159660635,0.314505689,1.370844365
VEJYIT01_clean,0.0003171236,0.157298521,0.311192204,1.362858854
VEJYOZ_clean,0.0002955905,0.14620572,0.288118526,1.18430196
VEJZIU_clean,0.0002285724,0.102896555,0.203719508,0.963344485
VELBAQ_clean,0.0002466407,0.122230798,0.241992795,1.091317846
VEMDAT_clean,0.0002190047,0.119545803,0.232646352,0.89740348
