Adsorbent,CO2_10C_0.5bar,CO2_10C_1bar,CO2_10C_5bar
BETZOR_clean,7.143838015,7.490840955,8.893708641
BEVWAB_clean,2.573874993,2.707672125,3.184606329
BEWCUD_clean,14.41159774,18.89132035,31.64753109
BEWVEG_clean,8.65111142,8.993056175,9.752215991
BEWVOQ_clean,26.12663371,26.78464258,28.13968019
BEWWEH_clean,24.73097086,25.37899381,27.34207001
BEXPAX_clean,15.11360009,15.31620218,15.85196637
BEXQIF_clean,0.574061244,1.132091633,6.202976547
BEXQOL_clean,0.445990164,0.878263414,4.891664305
BEXQUR_clean,0.463557677,0.917169924,5.088992301
BEXRAY_clean,0.403129942,0.802366951,4.516458777
BEXREC_clean,0.439124616,0.891506213,4.954324465
BEXRIG_clean,0.464068739,0.92125335,5.212359046
BEXRUT_clean,8.289520769,8.465221128,8.597754687
BEXSAA_clean,6.657452603,6.926131855,8.050831954
BEXSEE_clean,8.528086912,8.575847912,8.638005686
BEXSII_clean,13.11321071,13.56216299,14.77453153
BEXTUV_clean,4.207394519,4.392777421,5.146126751
BEXVAD_clean,4.010978762,4.293796072,4.679032387
BEXVAD01_clean,4.374303902,4.307207305,4.848598419
BEXVEH_clean,14.00410787,14.04322579,14.66732355
BEXVIL_clean,13.49765162,13.96262526,16.30937803
BEYSEF_clean,0.69705626,1.389521125,3.730590146
BIBXIV_clean,1.994896003,2.798541427,7.788541271
BIBXOB_clean,3.377734237,4.093838632,8.97674305
BIBXUH_clean,3.522714426,4.180724839,8.815866367
BICPOT_clean,5.295629781,5.766947928,6.571834335
BICPUA_clean,12.75976849,16.8423154,28.35256964
BIDPOV_clean,14.95387582,16.05971503,20.53013672
BIFGOO_clean,1.653525714,1.935813335,2.739429061
BIFKEI_clean,5.878179369,6.751000309,8.374175698
BIHBEB_clean,10.18894166,11.03781979,14.10144255
BIJDUV_clean,4.556449911,5.392606122,7.752989078
BIJFAD_clean,5.42692231,6.280388441,8.659137328
BIMDIL_clean,4.66476565,4.707057283,4.826364337
BINCUY_manual,6.583342809,8.579567625,15.01075621
BINDAF_manual,6.739548593,8.796751718,14.85043895
BINMIW_clean,4.370451553,4.399979576,4.972743638
BINROH_clean,15.50901626,15.69357873,16.9135617
BINRUN_clean,15.48988555,15.72138043,16.84029596
BINSAU_clean,16.53697932,17.14079268,19.04092247
BIPBAF_clean,15.842572,16.11912534,16.66313221
BIPLIX_clean,6.503112396,7.036390833,8.453370456
BIPSUQ_clean,24.4715722,26.77759425,32.83604637
BIQHEQ_clean,3.196769151,3.932121622,5.445816373
BIQVII_clean,1.446802183,1.533580216,1.634718796
BIRGIU_clean,3.182075949,3.945406067,5.350593184
BIRMUM_clean,3.441583997,3.441583997,3.441583997
BIRSEC_clean,4.455179284,4.723830159,5.798856604
BIRSIG_clean,4.265499546,4.426937326,5.148571174
BIWSEG_ion_b,4.467441596,7.989049028,30.4155228
BIWSIK_ion_b,4.721524995,5.420884824,7.803389884
BIWSOQ_clean,3.901815494,5.310166111,9.319935347
BIXYEO_clean,2.482207385,2.493316924,2.635698548
BIYTAG_clean,0.038007729,0.075195466,0.364686828
BIYTOU_clean,11.53381019,12.02768208,12.93989291
BIZMEE_clean,6.166673513,7.185456335,9.422733394
BIZMII_clean,6.130961857,7.157608663,9.32716468
BODPAN_clean,13.22958075,13.23705521,13.28190266
BOHJOZ_auto,6.333761155,6.694622568,7.180446639
BOHWOM_clean,9.888699687,10.32127435,10.74584841
BOKQEZ_clean,5.839180973,6.08732874,7.423086701
BOLPAU_clean,16.09575956,16.60999023,17.27970696
BOLZIN_clean,16.87688339,18.80131532,24.0508109
BOMCOX_clean,4.234097459,4.539248521,5.54011852
BOPHIZ_clean,7.097514915,7.190200255,7.922512964
BORBEQ_clean,6.54690471,7.159927865,7.524132906
BOSHIC_clean,13.73748593,14.10551173,15.08075348
BOVHEB_clean,4.386025686,4.798514476,5.578504459
BOWDIC_clean,7.287028049,7.633322775,8.560499505
BOWNUY_clean,1.203380099,2.150530099,6.716097658
BOWRAH_clean,1.138022501,1.202835593,1.304537813
BOWSOW_clean,8.081579033,8.160872407,8.23532217
BOWZUK_clean,1.075828049,2.085845801,6.574270946
BOXYIY_clean,5.482561668,5.571801499,5.665552487
BOYCEY_auto,15.58097882,16.73006546,22.70720937
BOYTEQ_clean,0.46267036,0.668762649,1.226971025
BOYYOF_clean,4.383162833,4.911840466,6.519140217
BOZFIH_clean,6.058657557,6.433417745,7.44317252
BOZFON_clean,3.568496937,3.786497851,4.467717694
BUBTUP_clean,3.8790454,3.979843956,4.274851004
BUCSAU_clean,3.523589044,3.731531621,4.140994988
BUCSEY_clean,3.42711602,3.716805231,4.37199749
BUCSIC01_clean,3.132013134,3.412897493,3.950984816
BUCWAZ_clean,11.77689971,12.24674651,13.50404518
BUKMUQ01_clean,14.74261928,15.65921111,17.17885962
BUKRUW01_clean,10.77259973,11.34417505,13.38857382
BUKRUW02_clean,12.27309858,13.16141177,15.72529498
BUKRUW03_clean,10.45954763,11.32938381,14.62651774
BUKYAJ_clean,0.340278908,0.675283101,2.688115539
BUNKUS_clean,19.05307717,20.41589937,24.96833001
BUNLAZ_clean,21.88704321,24.09016609,30.35421488
BUPVEP_clean,8.520284257,8.523219897,8.530902265
BUQWER_clean,5.473072374,6.01966008,6.211577597
BURJOO_clean,2.717418361,3.006808536,3.597226353
BURQIQ_clean,8.911430223,9.276749571,10.71279936
BUSNAF_clean,0.688404544,1.160357647,2.349398817
BUSQEM_clean,4.522411264,5.426903829,6.93393931
BUSQIQ_clean,0.834757943,1.21017032,1.974737139
BUSRUE_clean,5.997843141,6.452690583,7.432598891
BUVHEH_clean,7.255003181,7.626832261,8.392595366
BUVWOF02_clean,0.547794187,1.049281147,2.478077232
BUVWOF03_clean,0.856653855,1.555738767,3.030798354
BUVXOG_clean,0.570708359,1.06525222,2.284118785
BUVYEX_clean,0.90075267,1.602708795,2.992798001
BUVYIB_clean,2.627251158,4.341660991,10.69208482
BUVYIB01_clean,2.38675229,4.142212748,10.99085187
BUWMIR_clean,10.91322437,11.72539053,12.70816164
BUXNOZ_clean,15.00749311,15.31797161,16.51403846
c4ce00408f_c4ce00408f2_clean,11.12874444,11.12874172,11.12887214
c4dt03702b_c4dt03702b2_clean,6.632940043,7.391809142,10.96226852
c5cc04223b_c5cc04223b2_clean,15.94207255,17.94540386,23.18986429
c5cc09432a_c5cc09432a2_clean,4.452459087,4.719002507,5.826697985
c5cc10203k_c5cc10203k2_clean,1.022882362,2.129350621,12.28743542
c5ce00010f_c5ce00010f2_clean,1.273019991,1.719760097,3.200089237
c5ce00862j_c5ce00862j2_clean,4.182424785,4.665530624,6.295186323
c5ce00931f_c5ce00931f2_clean,3.190061158,3.233168604,3.264795794
c5ce02194d_c5ce02194d2_clean,5.689139355,6.370767159,7.743221608
c5cp03920g_c5cp03920g2_clean,7.723888639,8.221699617,8.695728404
c5dt03091a_c5dt03091a2_clean,9.705345979,10.99000685,14.10529199
c5dt04943a_c5dt04943a2_clean,17.24855602,18.38502897,20.61601852
c5gc02393a_c5gc02393a2_clean,5.242389565,5.43304106,5.743156648
c5nj02634b_c5nj02634b2_clean,5.724441071,6.212958371,7.718481808
c5nj03044g_c5nj03044g2_clean,5.17305166,5.296560051,5.762637837
c6cc00589f_c6cc00589f2_clean,0.714554854,1.474757043,7.033098352
c6cc00862c_c6cc00862c2_clean,2.152638393,3.733472103,7.608519631
