Adsorbent,O2_20C_0.001bar,O2_20C_0.5bar,O2_20C_1bar,O2_20C_5bar,O2_20C_15bar
IWOKUC_clean,0.0002497475,0.118515743,0.23341201,1.00188129,2.347369144
IWOSAP_clean,2.56034e-05,0.008801435,0.018097528,0.085707994,0.227235561
IXAKAU_clean,0.0002802885,0.137515708,0.278970837,1.258211813,3.343216694
IXEBEU_clean,0.0003058456,0.161538497,0.315318287,1.293213831,2.744247161
IXECET_clean,0.0003232749,0.140898731,0.273880638,1.143764163,2.493789958
IXEJIG_clean,0.0003813019,0.191651886,0.355923909,1.368976426,3.030318494
IXEJOM_clean,0.0002594412,0.122834637,0.246583768,1.116901343,2.969394332
IXIKOR01_clean,0.0005838509,0.259037614,0.45983537,1.338965881,2.026548565
IXIPAG_clean,4.28475e-05,0.021434749,0.042128119,0.190263273,0.488170434
IXIPEK_clean,4.31106e-05,0.02225447,0.043996707,0.196817474,0.496145657
IXIPIO_clean,4.40268e-05,0.020827415,0.041382022,0.187921599,0.487607521
IXISAJ_clean,0.0005685591,0.27136221,0.4852712,1.45047304,2.320293299
IXISOX_clean,0.0005315295,0.229074399,0.407221087,1.218110365,1.896171895
IXISUD_clean,0.0001924138,0.104689253,0.197217956,0.696109917,1.288001609
IXODUV_clean,0.0001604949,0.073126165,0.146641846,0.698286262,1.926075857
IXOFAD_clean,0.0001622982,0.072469759,0.145309198,0.690522998,1.938989385
IXOFEH_clean,0.000149675,0.071012682,0.14323178,0.684105005,1.868131788
IXOFIL_clean,0.0001334452,0.072657304,0.144681644,0.687956882,1.896497909
IXOFOR_clean,0.0001677082,0.075291945,0.149103369,0.707037742,1.901493088
IXOFUX_clean,0.0001713148,0.071932372,0.141579945,0.676864701,1.901750961
IXOFUX01_clean,0.0001298386,0.073104526,0.145466086,0.69540637,1.912700681
IXUQOJ_clean,0.0001604686,0.079974505,0.154981275,0.615325848,1.275396121
IXUQUO_clean,0.00066093,0.262397556,0.481732498,1.459314708,2.553024616
IXURID_clean,0.0005195504,0.233614447,0.451627291,1.678212546,3.354980698
IXUWII_clean,0.0003390828,0.169230129,0.330823305,1.428618902,3.340208047
IYAJID_clean,0.0002269222,0.108630559,0.211549869,0.92070184,2.160377601
IYAJOJ_clean,0.0002198821,0.107684486,0.210404966,0.916344245,2.152263811
IYAJUP_clean,0.0002030178,0.1057190799999999,0.206118443,0.867117281,2.024707446
IYAKAW_clean,0.0002029315,0.100056647,0.196405802,0.860675954,2.042829659
IYAKIE_clean,0.0002374202,0.119976922,0.234310025,1.020389752,2.538797266
IYASOS_clean,0.0001774354,0.093064887,0.182496858,0.796670074,1.878590167
IYAYUE_clean,0.0002669881,0.142108576,0.281399176,1.217004661,2.851113531
IYEHAX_clean,0.0004078183,0.213454842,0.409260601,1.607361528,3.738516074
IYEPUZ_clean,0.0002370078,0.136464394,0.2704363,1.221699599,3.230598415
