Adsorbent,O2_30C_0.001bar,O2_30C_0.5bar,O2_30C_1bar,O2_30C_5bar,RMSE_Freundlich-Langmuir,best_model,best_params
FEBPUY_clean,0.0001444292,0.070743392,0.138336269,0.591304258,1.94372409673515e-07,Freundlich–Langmuir,[2.00322376 0.07229588 0.65667697]
FEBXIV_clean,0.0003878458,0.161255097,0.314260254,1.507211398,,Freundlich–Langmuir,"[nan, nan, nan]"
FECCIZ_clean,0.0004099944,0.20327558,0.390348791,1.40701141,,Freundlich–Langmuir,"[nan, nan, nan]"
FECJUT_clean,0.000273841,0.140133945,0.273706883,1.142182466,6.602819085056794e-06,Freundlich–Langmuir,[13.04350774  0.02200791  2.1881575 ]
FECKAA_clean,0.0003995733,0.192664529,0.368020347,1.389475051,2.654665986592024e-06,Freundlich–Langmuir,[2.45522983 0.1649232  0.62599925]
FECXES_clean,0.000292826,0.150634932,0.287552168,1.193163844,1.4019342617796676e-05,Freundlich–Langmuir,[0.37939927 0.84584347 0.17907829]
FECXUI_clean,0.0003177151,0.148933624,0.286646977,1.160032185,3.370071279292159e-06,Freundlich–Langmuir,[1.17972985 0.26362276 0.34854375]
FECYUJ_clean,0.0003888605,0.156810957,0.302686274,1.220852072,3.148710229315373e-05,Freundlich–Langmuir,[1.88295921 0.17308571 0.46314251]
FECZAQ_manual,0.0001920631,0.094365758,0.188993757,0.847441371,,Freundlich–Langmuir,"[nan, nan, nan]"
FEFCUQ_clean,0.0002402516,0.128986615,0.247642411,1.188931969,,Freundlich–Langmuir,"[nan, nan, nan]"
FEFDAX_clean,0.0002268671,0.115844017,0.22660378,1.074179295,1.3085019382087356e-05,Freundlich–Langmuir,[9.95054541e-03 2.54373363e+01 3.37841965e-02]
FEFDEB_manual,0.0001900711,0.09745465,0.193786152,0.960360282,,Freundlich–Langmuir,"[nan, nan, nan]"
FEFZOF_clean,0.0001810724,0.088453867,0.171329434,0.717996539,1.1533578798639952e-06,Freundlich–Langmuir,[0.69709457 0.26308214 0.29133997]
FEGNIQ_clean,0.0001020071,0.058321435,0.11599313,0.522680916,,Freundlich–Langmuir,"[nan, nan, nan]"
FEHCIG_manual,0.0001788082,0.092944898,0.1829972,0.864288273,5.711402598582472e-06,Freundlich–Langmuir,[0.15858675 1.19960717 0.04925267]
FEJDII_clean,0.0002421796,0.126213937,0.243254312,0.956381524,1.0152052731298181e-05,Freundlich–Langmuir,[2.22028541 0.11823011 0.68154701]
FEJDII01_clean,0.0002408342,0.1223061,0.236422491,0.92332333,6.219883404407358e-06,Freundlich–Langmuir,[5.22874641 0.04844214 1.45694291]
FENROG_clean,3.6765e-05,0.022578587,0.044329963,0.219459846,,Freundlich–Langmuir,"[nan, nan, nan]"
